"strain"	"isotype"	"latitude"	"longitude"	"substrate"	"abz_hta_2018_pheno"	"abz_hta_2018"	"abz_hta_2024_pheno"	"abz_hta_2024"	"abz_hta_norm_pheno"	"abz_hta_norm_res"	"abz_hta_2018_res"	"abz_hta_2024_res"	"ben-1_high_impact_SNV"	"tbb-2_high_impact_SNV"	"tbb-1_high_impact_SNV"	"mec-7_high_impact_SNV"	"tbb-4_high_impact_SNV"	"ben-1_SVs"	"ben-1_SV_ids"	"tbb-2_SVs"	"tbb-2_SV_ids"	"tbb-1_SVs"	"tbb-1_SV_ids"	"mec-7_SVs"	"mec-7_SV_ids"	"tbb-4_SVs"	"tbb-4_SV_ids"	"ben-1_var"	"tbb-2_var"	"tbb-1_var"	"mec-7_var"	"tbb-4_var"	"ben-1_exp"	"tbb-1_exp"	"tbb-2_exp"	"tbb-4_exp"	"mec-7_exp"	"low_ben1_exp"	"tbb-1_clean_call"	"tbb-2_clean_call"	"ben-1_clean_call"	"mec-7_clean_call"	"tbb-4_clean_call"
"ECA2559"	"ECA2559"	-37.87	144.9836111	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-34.1395190532244	TRUE	-37.0724109583984	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2560"	"ECA2560"	-37.82444444	145.4433333	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2561"	"ECA2561"	-37.8269983	144.9798563	"Rotting_flower"	NA	FALSE	-36.954083809583	TRUE	-39.886975714757	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2565"	"ECA2565"	-37.82472222	145.4427778	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2568"	"ECA2568"	-37.8223452	144.9736522	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2581"	"ECA2581"	-37.8253099	144.9768299	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2583"	"ECA2583"	-38.15	144.3788889	"Rotting_flower"	NA	FALSE	-35.8401365445985	TRUE	-38.7730284497725	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2584"	"ECA2584"	-38.15	144.3788889	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA259"	"PB306"	NA	NA	"Arthropod"	-19.3817278168874	TRUE	-27.8373173545844	TRUE	-19.8376319483879	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.080399	8.20947	10.30358	-0.412981095558223	2.657949	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2594"	"ECA2594"	-37.83305556	144.9797222	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2595"	"ECA2595"	-37.83277778	144.9797222	"Rotting_flower"	NA	FALSE	-41.5934338177997	TRUE	-44.5263257229737	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2601"	"ECA2601"	-37.8223566	144.9736758	"Vegetal_litter/mix"	NA	FALSE	-16.692429434408	TRUE	-19.625321339582	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2602"	"ECA2602"	-37.82222222	144.9736111	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-22.1517675707902	TRUE	-25.0846594759642	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2603"	"ECA2603"	-37.82222222	144.9736111	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-11.6582857026278	TRUE	-14.5911776078018	TRUE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2607"	"ECA2607"	-37.825658	144.9770918	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2609"	"ECA2609"	-38.15	144.3791667	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2612"	"ECA2612"	-37.8274278	144.980163	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2615"	"ECA2615"	-37.82444444	145.4433333	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-72.934844352943	TRUE	-75.867736258117	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2641"	"ECA2641"	-26.87296944	151.5799778	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2648"	"ECA2648"	-37.8701549	144.9824148	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2656"	"ECA2656"	-37.825658	144.9770918	"Rotting_flower"	NA	FALSE	-24.9694823115624	TRUE	-27.9023742167364	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2659"	"ECA2659"	-37.8274278	144.980163	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-48.7313369222182	TRUE	-51.6642288273923	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2660"	"ECA2660"	-37.8274278	144.980163	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-37.3028832030344	TRUE	-40.2357751082084	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2672"	"ECA2672"	-37.8701549	144.9824148	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-48.3046402273372	TRUE	-51.2375321325112	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA2676"	"ECA2676"	-37.8223452	144.9736522	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA347"	"ECA347"	19.438889	-155.303611	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA348"	"ECA348"	37.775334	-122.253889	"Rotting_nut/pod/seed/fruit"	141.36962285351	TRUE	NA	FALSE	151.84629603338	TRUE	TRUE	NA	"frameshift_299"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"frameshift_299 | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	2.789499	7.865497	10.41539	-0.638511076311624	4.073767	TRUE	"No variant"	"No variant"	"Frameshift"	"No variant"	"No variant"
"ECA349"	"ECA349"	32.765758	-117.236741	"Rotting_nut/pod/seed/fruit"	-7.91560990486358	TRUE	NA	FALSE	2.56106327500629	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.68014	8.253988	9.714979	-0.597142937380171	3.831804	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA36"	"ECA36"	-36.893333	174.745529	"Vegetal_litter/mix"	-25.9831013107526	TRUE	-50.7038841052222	TRUE	-34.5716020706395	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA363"	"ECA363"	20.723611	-156.304444	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.718922	7.95115	9.808224	-0.434534276124481	3.829075	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA369"	"ECA369"	21.175556	-157.006389	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA372"	"ECA372"	22.121667	-159.664444	"Vegetal_litter/mix"	-90.995167426899	TRUE	NA	FALSE	-80.5184942470291	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.953424	7.684344	10.05159	-0.544872324880142	3.111025	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA396"	"ECA396"	19.449831	-155.235493	"Rotting_nut/pod/seed/fruit"	-63.439625449294	TRUE	-42.9831974606129	TRUE	-49.4395208176055	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA592"	"ECA592"	34.417128	-119.640915	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.801109	8.34116	10.15431	-0.0661588721186015	2.856356	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA593"	"ECA593"	34.418632	-119.642159	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	"missense_Q8H"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"missense_Q8H | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"Missense"
"ECA594"	"ECA594"	34.417532	-119.640673	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-32.0608534003097	TRUE	-34.9937453054837	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.7229	8.365374	10.12898	-0.171328043012812	2.177425	TRUE	"No variant"	"No variant"	"Low ben-1 expression"	"No variant"	"No variant"
"ECA640"	"ECA640"	34.065378	-118.441156	"Rotting_nut/pod/seed/fruit"	NA	FALSE	-82.7502294353524	TRUE	-85.6831213405264	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA701"	"ECA701"	22.123283	-159.656428	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA703"	"ECA703"	20.038831	-155.438922	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.306882	8.083829	9.993397	-0.999930685487723	3.669659	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA705"	"ECA705"	20.038831	-155.438922	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.074674	8.24941	10.15169	-0.377804787585343	2.78527	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA706"	"ECA706"	20.038831	-155.438922	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Deletion"	"DEL00767510"	NA	NA	NA	NA	NA	NA	NA	NA	"NA | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"ECA710"	"ECA710"	20.039656	-155.438103	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Deletion"	"DEL00767489"	NA	NA	NA	NA	NA	NA	NA	NA	"NA | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.069779	7.548959	9.784672	0.24420836941317	3.837848	FALSE	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"ECA712"	"ECA712"	19.423864	-155.222478	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Deletion"	"DEL00767510"	NA	NA	NA	NA	NA	NA	NA	NA	"NA | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"ECA722"	"ECA722"	19.423975	-155.222625	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA723"	"ECA723"	19.424272	-155.221661	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA724"	"ECA724"	19.439144	-155.303825	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA730"	"ECA730"	19.423869	-155.222483	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA732"	"ECA732"	19.115403	-155.81845	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA733"	"ECA733"	19.115886	-155.818386	"Rotting_wood"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA738"	"ECA738"	21.13927631	-156.9740559	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.936075	8.121881	10.13674	-0.492833591015122	2.884076	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA740"	"ECA740"	20.670022	-156.339189	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA741"	"ECA741"	20.6762	-156.338322	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA742"	"ECA742"	20.80569	-156.2781	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA743"	"ECA743"	20.741871	-156.32317	"Rotting_flower"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	3.999277	8.336905	10.19661	1.08133937354083	2.572595	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA744"	"ECA744"	19.719231	-155.949572	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	"missense_A9T"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"missense_A9T | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"Missense"	"No variant"
"ECA745"	"ECA745"	19.700464	-155.955839	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.139452	8.040718	9.882335	-0.0956786972236763	3.118208	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA746"	"ECA746"	19.115292	-155.819336	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA760"	"ECA760"	20.039869	-155.441619	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA768"	"ECA768"	20.039914	-155.441556	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA777"	"ECA777"	20.039908	-155.441503	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.004843	8.097818	9.968857	-0.543833517286045	3.105537	FALSE	"No variant"	"No variant"	"No variant"	"No variant"	"No variant"
"ECA778"	"ECA778"	20.039908	-155.441503	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Deletion"	"DEL00767510"	NA	NA	NA	NA	NA	NA	NA	NA	"NA | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"ECA807"	"ECA807"	20.039869	-155.441531	"Rotting_nut/pod/seed/fruit"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Deletion"	"DEL00767510"	NA	NA	NA	NA	NA	NA	NA	NA	"NA | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	NA	NA	NA	NA	NA	NA	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
"ECA812"	"ECA812"	20.039917	-155.441542	"Vegetal_litter/mix"	NA	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Deletion"	"DEL00767510"	NA	NA	NA	NA	NA	NA	NA	NA	"NA | Deletion"	"NA | NA"	"NA | NA"	"NA | NA"	"NA | NA"	4.404806	8.015222	9.837639	-0.344182723149675	4.290676	FALSE	"No variant"	"No variant"	"Deletion"	"No variant"	"No variant"
